piima	349	57
silmade	349	69
loodan	349	67
mehega	349	66
puu	349	68
noore	348	71
aimugi	348	70
maas	348	71
aastate	347	72
häda	347	65
minagi	347	58
õppima	347	71
valida	346	79
õe	346	51
igati	346	67
parema	346	72
paha	346	68
voodisse	345	60
maia	345	9
seisid	345	65
kiri	345	57
värske	345	69
tekib	344	64
autosse	344	52
au	344	65
juhtuda	344	73
d	344	49
saatel	343	68
ilmunud	343	74
nurga	343	71
haiglas	343	50
samamoodi	343	72
und	342	70
raamatuid	342	64
meenutas	342	64
teineteisele	342	64
uksele	342	73
tehes	342	75
äkitselt	342	49
meelis	341	15
nella	341	2
tund	341	72
alates	341	70
ainuke	341	67
jõe	340	56
rääkimata	340	79
politsei	340	51
kellest	339	75
uskunud	339	72
punane	339	70
öeldud	338	74
ülikooli	338	58
läheks	338	73
teadmata	338	75
hobuse	338	46
puude	337	64
